12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs,,Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs
37,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,WCST,,,3.9000,1.200,37,720,,4.40000,0.900,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
38,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,WCST,,,8.1000,5.100,37,720,,6.80000,4.400,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
39,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Ris et al 1994,2017,WCST,,,21.0000,32.000,25,1332,,12.00000,9.000,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
40,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,WCST,,,4.0000,1.100,19,1042,,4.10000,1.000,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
41,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,WCST,,,7.0000,3.100,19,1042,,7.80000,3.300,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
42,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-High Phe,1996,WCST,,,4.4000,1.710,11,1545,,5.59000,1.330,22,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
43,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-High Phe,1996,WCST,,,23.0000,10.100,11,1545,,9.68000,8.230,22,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
44,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-Low Phe,1996,WCST,,,6.0000,1.330,11,566,,5.59000,1.330,22,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
45,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Smith et al 1996-Low Phe,1996,WCST,,,7.6000,4.290,11,566,,9.68000,8.230,22,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
46,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Griffiths 1995,1995,Design fluency,,,11.9000,2.560,10,348,,12.20000,2.350,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
47,Children,EF-Flexibility,EF-Flexibility-other,ES_large,Anderson et al 2003/2008,2008,Digit symbol coding,,,7.7800,2.872,33,,,10.48000,2.915,34,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
